Order,Variable,Description,Category,Hierarchy Level,Hierarchy Description,Nearest Parent,Data Vintage,Root Formula,Type,Size,Part
0,CODE,,Geography,0,,,2020,,V_String,16,_0
0,GEO,,Geography,0,,,2020,,V_String,16,_0
1,EHYBASPOP,Total Population,Basics,0,Total Population,,2020,[EHYBASPOP],Int32,4,_5
2,EHYBASHHD,Total Private Occupied Dwellings (Households),Basics,0,Total Private Occupied Dwellings (Households),,2020,[EHYBASHHD],Int32,4,_5
3,EHYBASHPOP,Total Population Living In Households (Household Population),Basics,0,Total Population Living In Households (Household Population),,2020,[EHYBASHPOP],Int32,4,_5
4,EHYBAS12P,Total Population 12 Year Or Over,Basics,0,Total Population 12 Year Or Over,,2020,[EHYBAS12P],Int32,4,_5
5,EHYBAS15P,Total Population 15 Years Or Over,Basics,0,Total Population 15 Years Or Over,,2020,[EHYBAS15P],Int32,4,_5
6,EHYBAS18P,Total Population 18 Years Or Over,Basics,0,Total Population 18 Years Or Over,,2020,[EHYBAS18P],Int32,4,_5
7,EHYBAS19P,Total Population 19 Years Or Over,Basics,0,Total Population 19 Years Or Over,,2020,[EHYBAS19P],Int32,4,_5
8,EHYBAS12HP,Total Household Population 12 Years Or Over,Basics,0,Total Household Population 12 Years Or Over,,2020,[EHYBAS12HP],Int32,4,_5
9,EHYBAS15HP,Total Household Population 15 Years Or Over,Basics,0,Total Household Population 15 Years Or Over,,2020,[EHYBAS15HP],Int32,4,_5
10,EHYBAS18HP,Total Household Population 18 Years Or Over,Basics,0,Total Household Population 18 Years Or Over,,2020,[EHYBAS18HP],Int32,4,_5
11,EHYBAS19HP,Total Household Population 19 Years Or Over,Basics,0,Total Household Population 19 Years Or Over,,2020,[EHYBAS19HP],Int32,4,_5
12,EHYBASTNGH,Total Household Population 12 To 17,Basics,0,Total Household Population 12 To 17,,2020,[EHYBASTNGH],Int32,4,_5
13,EHYBASADUH,Total Household Population 25 To 64,Basics,0,Total Household Population 25 To 64,,2020,[EHYBASADUH],Int32,4,_5
14,EHYBASCF,Total Census Families,Basics,0,Total Census Families,,2020,[EHYBASCF],Int32,4,_5
15,EHYBASCFH,Total Census Family Households,Basics,0,Total Census Family Households,,2020,[EHYBASCFH],Int32,4,_5
16,EHYBASKID,Total Children Living In Households (Children At Home),Basics,0,Total Children Living In Households (Children At Home),,2020,[EHYBASKID],Int32,4,_5
17,EHYBASLF,Total Household Population 15 Years Or Over In The Labour Force,Basics,0,Total Household Population 15 Years Or Over In The Labour Force,,2020,[EHYBASLF],Int32,4,_5
18,EHYPTAPOP,Total Population,Total Population by Age,0,Total Population,,2020,[EHYPTAPOP],Int32,4,_5
19,EHYPTA_0_4,Total 0 To 4,Total Population by Age,1,    Total 0 To 4,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
20,EHYPTA_5_9,Total 5 To 9,Total Population by Age,1,    Total 5 To 9,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
21,EHYPTA1014,Total 10 To 14,Total Population by Age,1,    Total 10 To 14,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
22,EHYPTA1519,Total 15 To 19,Total Population by Age,1,    Total 15 To 19,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
23,EHYPTA2024,Total 20 To 24,Total Population by Age,1,    Total 20 To 24,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
24,EHYPTA2529,Total 25 To 29,Total Population by Age,1,    Total 25 To 29,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
25,EHYPTA3034,Total 30 To 34,Total Population by Age,1,    Total 30 To 34,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
26,EHYPTA3539,Total 35 To 39,Total Population by Age,1,    Total 35 To 39,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
27,EHYPTA4044,Total 40 To 44,Total Population by Age,1,    Total 40 To 44,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
28,EHYPTA4549,Total 45 To 49,Total Population by Age,1,    Total 45 To 49,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
29,EHYPTA5054,Total 50 To 54,Total Population by Age,1,    Total 50 To 54,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
30,EHYPTA5559,Total 55 To 59,Total Population by Age,1,    Total 55 To 59,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
31,EHYPTA6064,Total 60 To 64,Total Population by Age,1,    Total 60 To 64,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
32,EHYPTA6569,Total 65 To 69,Total Population by Age,1,    Total 65 To 69,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
33,EHYPTA7074,Total 70 To 74,Total Population by Age,1,    Total 70 To 74,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
34,EHYPTA7579,Total 75 To 79,Total Population by Age,1,    Total 75 To 79,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
35,EHYPTA8084,Total 80 To 84,Total Population by Age,1,    Total 80 To 84,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
36,EHYPTA85P,Total 85 Or Older,Total Population by Age,1,    Total 85 Or Older,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
37,EHYPTAAVG,Average Age Of Total Population,Total Population by Age,0,Average Age Of Total Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
38,EHYPTAMED,Median Age Of Total Population,Total Population by Age,0,Median Age Of Total Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
39,EHYPMAPOP,Males,Male Population by Age,0,Males,,2020,[EHYPTAPOP],Int32,4,_5
40,EHYPMA_0_4,Males 0 To 4,Male Population by Age,1,    Males 0 To 4,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
41,EHYPMA_5_9,Males 5 To 9,Male Population by Age,1,    Males 5 To 9,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
42,EHYPMA1014,Males 10 To 14,Male Population by Age,1,    Males 10 To 14,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
43,EHYPMA1519,Males 15 To 19,Male Population by Age,1,    Males 15 To 19,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
44,EHYPMA2024,Males 20 To 24,Male Population by Age,1,    Males 20 To 24,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
45,EHYPMA2529,Males 25 To 29,Male Population by Age,1,    Males 25 To 29,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
46,EHYPMA3034,Males 30 To 34,Male Population by Age,1,    Males 30 To 34,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
47,EHYPMA3539,Males 35 To 39,Male Population by Age,1,    Males 35 To 39,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
48,EHYPMA4044,Males 40 To 44,Male Population by Age,1,    Males 40 To 44,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
49,EHYPMA4549,Males 45 To 49,Male Population by Age,1,    Males 45 To 49,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
50,EHYPMA5054,Males 50 To 54,Male Population by Age,1,    Males 50 To 54,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
51,EHYPMA5559,Males 55 To 59,Male Population by Age,1,    Males 55 To 59,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
52,EHYPMA6064,Males 60 To 64,Male Population by Age,1,    Males 60 To 64,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
53,EHYPMA6569,Males 65 To 69,Male Population by Age,1,    Males 65 To 69,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
54,EHYPMA7074,Males 70 To 74,Male Population by Age,1,    Males 70 To 74,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
55,EHYPMA7579,Males 75 To 79,Male Population by Age,1,    Males 75 To 79,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
