ORDER,VARIABLE,DESCRIPTION,CATEGORY
1,HSBASHHD,Total Households,Basics
2,HSHNIAGG,Household Income,Basics
3,HSAGDISPIN,Household Disposable Income,Basics
4,HSAGDISCIN,Household Discretionary Income,Basics
5,HSTT001,Total Expenditure,Household Expenditures (Category Summary)
5,HSTT001,Total Expenditure,Household Expenditures (Category Summary)
6,HSTE001,Total current consumption and financial transfers,Household Expenditures (Category Summary)
6,HSTE001,Total current consumption and financial transfers,Household Expenditures (Category Summary)
7,HSTX001,Income taxes,Household Expenditures (Category Summary)
7,HSTX001,Income taxes,Household Expenditures (Category Summary)
8,HSTC001,Total current consumption,Household Expenditures (Category Summary)
8,HSTC001,Total current consumption,Household Expenditures (Category Summary)
9,HSFD001S,Food expenditures,Household Expenditures (Category Summary)
9,HSFD001S,Food expenditures,Household Expenditures (Category Summary)
10,HSHO001S,Household operations,Household Expenditures (Category Summary)
10,HSHO001S,Household operations,Household Expenditures (Category Summary)
11,HSHF001S,Household furnishings and equipment,Household Expenditures (Category Summary)
11,HSHF001S,Household furnishings and equipment,Household Expenditures (Category Summary)
12,HSTR001S,Transportation,Household Expenditures (Category Summary)
12,HSTR001S,Transportation,Household Expenditures (Category Summary)
13,HSHC001S,Health care,Household Expenditures (Category Summary)
13,HSHC001S,Health care,Household Expenditures (Category Summary)
14,HSPC001S,Personal care,Household Expenditures (Category Summary)
14,HSPC001S,Personal care,Household Expenditures (Category Summary)
15,HSRE001S,Recreation,Household Expenditures (Category Summary)
15,HSRE001S,Recreation,Household Expenditures (Category Summary)
16,HSRO001S,Reading materials and other printed matter,Household Expenditures (Category Summary)
16,HSRO001S,Reading materials and other printed matter,Household Expenditures (Category Summary)
17,HSTA018S,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Household Expenditures (Category Summary)
17,HSTA018S,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Household Expenditures (Category Summary)
18,HSGC001S,Games of chance,Household Expenditures (Category Summary)
18,HSGC001S,Games of chance,Household Expenditures (Category Summary)
19,HSME001S,Miscellaneous expenditures,Household Expenditures (Category Summary)
19,HSME001S,Miscellaneous expenditures,Household Expenditures (Category Summary)
20,HSSH001S,Shelter,Household Expenditures (Category Summary)
20,HSSH001S,Shelter,Household Expenditures (Category Summary)
21,HSCL030S,Clothing and accessories,Household Expenditures (Category Summary)
21,HSCL030S,Clothing and accessories,Household Expenditures (Category Summary)
22,HSED002S,Education,Household Expenditures (Category Summary)
22,HSED002S,Education,Household Expenditures (Category Summary)
23,HSEP011S,Personal insurance premiums and retirement/pension fund contributions,Household Expenditures (Category Summary)
23,HSEP011S,Personal insurance premiums and retirement/pension fund contributions,Household Expenditures (Category Summary)
24,HSMG001S,"Gifts of money, support payments and charitable contributions",Household Expenditures (Category Summary)
24,HSMG001S,"Gifts of money, support payments and charitable contributions",Household Expenditures (Category Summary)
25,HSTE001ZBS,Total Non Current Consumption,Household Expenditures (Category Summary)
25,HSTE001ZBS,Total Non Current Consumption,Household Expenditures (Category Summary)
26,HSWH040S,Net purchase price of owned residences,Household Expenditures (Category Summary)
26,HSWH040S,Net purchase price of owned residences,Household Expenditures (Category Summary)
27,HSWH041S,Net purchase price of owned secondary residences,Household Expenditures (Category Summary)
27,HSWH041S,Net purchase price of owned secondary residences,Household Expenditures (Category Summary)
28,HSWH042S,Net purchase price of other owned properties,Household Expenditures (Category Summary)
28,HSWH042S,Net purchase price of other owned properties,Household Expenditures (Category Summary)
29,HSWH050S,Owned principal residence improvements and renovations,Household Expenditures (Category Summary)
29,HSWH050S,Owned principal residence improvements and renovations,Household Expenditures (Category Summary)
30,HSWH028S,Improvements and renovations of secondary residences,Household Expenditures (Category Summary)
30,HSWH028S,Improvements and renovations of secondary residences,Household Expenditures (Category Summary)
31,HSFD001,Food expenditures,Food
32,HSFD003,Food purchased from stores,Food
33,HSFD990,Food purchased from restaurants,Food
34,HSFD991,Restaurant meals,Food
35,HSFD992,Restaurant dinners,Food
36,HSFD993,Restaurant lunches,Food
37,HSFD994,Restaurant breakfasts,Food
38,HSFD995,Restaurant snacks and beverages,Food
39,HSFD1100,Ready-to-cook meal delivery services,Food
40,HSHO001,Household operations,Household Operations
41,HSHO010,Household cleaning supplies and equipment,Household Operations
42,HSHO011,Detergent and other soaps,Household Operations
43,HSHO013,Cleaning equipment (non-electric),Household Operations
44,HSHO012,Other household cleaning supplies,Household Operations
45,HSHO014,"Paper, plastic and foil supplies",Household Operations
46,HSHO015,Stationery (excluding school supplies),Household Operations
47,HSHO016,Other paper supplies,Household Operations
48,HSHO017,Plastic and foil supplies,Household Operations
49,HSHO018,Garden supplies and services,Household Operations
50,HSHO021,"Groundskeeping services, snow and garbage removal",Household Operations
51,HSHO019,"Nursery and greenhouse stock, cut flowers, decorative plants and seeds",Household Operations
52,HSHO020,Fertilizers/herbicides/insecticides/pesticides/soil/soil conditioners,Household Operations
53,HSHO022,Other household supplies,Household Operations
54,HSCS030,Communications,Household Operations
55,HSCS003,Telephone services and equipment,Household Operations
56,HSCS004,Landline telephone services,Household Operations
57,HSCS005,Cell phone and pager services,Household Operations
58,HSCS021,Telephones and other equipment,Household Operations
59,HSCS007,Internet access services,Household Operations
60,HSCS008,Digital services,Household Operations
61,HSCS020,"Postal, courier, delivery and other communication services",Household Operations
62,HSHO002,Domestic and other custodial services (excluding child care),Household Operations
63,HSHO003,Pet expenses,Household Operations
64,HSHO052,Pet food and pet-related goods,Household Operations
65,HSHO050,Purchase of pets,Household Operations
66,HSHO006,Veterinarian and other services,Household Operations
67,HSCC001,Child care,Household Operations
68,HSCC021,Child care outside the home,Household Operations
69,HSCC022,Child care in the home,Household Operations
70,HSHF001,Household furnishings and equipment,House Furnishings
71,HSHF002,Household furnishings,House Furnishings
72,HSHF003,Furniture,House Furnishings
73,HSHF004,"Rugs, mats and under-padding",House Furnishings
74,HSHF005A,"Works of art, carvings and other decorative ware",House Furnishings
75,HSHF006,Linens,House Furnishings
76,HSHF008,"Other household furnishings (curtains, mirrors and picture frames)",House Furnishings
77,HSHF007,Lamps and lampshades,House Furnishings
78,HSHF008B,Curtains and interior blinds,House Furnishings
79,HSHF008C,"Glass mirrors, mirrors and picture frames",House Furnishings
80,HSHF008A,All other household furnishings,House Furnishings
81,HSHE001,Household equipment,House Furnishings
82,HSHE002,Household appliances,House Furnishings
83,HSHE008,"Room air conditioners, portable humidifiers and dehumidifiers",House Furnishings
84,HSHE050,Refrigerators and freezers,House Furnishings
85,HSHE051,Microwave ovens and cooking appliances,House Furnishings
86,HSHE052,"Washers, dryers and dishwashers",House Furnishings
87,HSHE009,Other electric equipment and appliances,House Furnishings
88,HSHE009A,All other electric equipment and appliances,House Furnishings
89,HSHE009B,Small electric food preparation appliances,House Furnishings
90,HSHE009C,"Sewing machines, vacuum cleaners and other rug cleaning equipment",House Furnishings
91,HSHE009D,Attachments and parts for major appliances,House Furnishings
92,HSHE010,Other household equipment,House Furnishings
93,HSHE011,Home and workshop tools and equipment,House Furnishings
94,HSHE031,Power tools and equipment,House Furnishings
95,HSHE011B,Other tools,House Furnishings
96,HSHE011C,Hardware,House Furnishings
97,HSHE012,"Lawn, garden and snow-removal equipment and tools",House Furnishings
98,HSHE032,"Power lawn, garden and snow-removal equipment",House Furnishings
99,HSHE012B,"Other lawn, garden and snow-removal tools and equipment attachments",House Furnishings
100,HSHE012C,Parts and accessories for garden tools,House Furnishings
101,HSHE013,Non-electric kitchen and cooking equipment,House Furnishings
102,HSHE013A,Other non-electric kitchen and cooking equipment,House Furnishings
103,HSHE013B,"Cutlery, flatware and silverware",House Furnishings
104,HSHE015,"Other household equipment, parts and accessories",House Furnishings
105,HSHE014,Luggage,House Furnishings
106,HSHE015A,"All other household equipment, parts and accessories",House Furnishings
107,HSHE015B,Home security equipment,House Furnishings
108,HSHE017,Maintenance/rental/repairs/services related to household furnishings/equipment,House Furnishings
109,HSHE020,Services related to household furnishings and equipment,House Furnishings
110,HSHE023,Home security services,House Furnishings
111,HSHE024,Rental of heating equipment,House Furnishings
112,HSTR001,Transportation,Transportation
113,HSTR002,Private transportation,Transportation
114,HSTR003,Private use vehicles,Transportation
115,HSTR004,Purchase of vehicles,Transportation
116,HSTR005,Purchase of automobiles,Transportation
117,HSTR006,Purchase of vans and mini-vans,Transportation
118,HSTR007,Purchase of trucks and sports utility vehicles,Transportation
119,HSTR008,Accessories for vehicles,Transportation
120,HSTR058,Accessories for vehicles (excluding children's car and booster seats),Transportation
121,HSTR009,Children's car seats and booster seats,Transportation
122,HSTR010,"Regular and other leasing fees for automobiles, trucks and vans",Transportation
123,HSTR011,"Regular leasing fees for automobiles, trucks and vans",Transportation
124,HSTR012,Regular fees for leased automobiles,Transportation
125,HSTR112,Regular fees for leased vans and trucks,Transportation
126,HSTR013,Regular fees for leased vans,Transportation
127,HSTR014,Regular fees for leased trucks,Transportation
128,HSTR015,Other leasing costs for vehicles,Transportation
129,HSTR020,Rented vehicles,Transportation
130,HSTR030,Vehicle operations,Transportation
131,HSTR031,Vehicle registration fees,Transportation
132,HSTR085,Public and private vehicle insurance premiums,Transportation
133,HSTR033,"Tires, batteries, and other parts and supplies for vehicles",Transportation
134,HSTR034,Maintenance and repairs of vehicles,Transportation
135,HSTR038,Parking costs,Transportation
136,HSTR039,"Drivers' licences and tests, and driving lessons",Transportation
137,HSTR040,Drivers' licences and tests,Transportation
138,HSTR041,Driving lessons,Transportation
139,HSTR071,"Vehicle operation, security and communication services",Transportation
140,HSTR036,Gas and other fuels,Transportation
141,HSTR070,Public transportation,Transportation
142,HSTR051,"City or commuter bus, subway, street car and commuter train",Transportation
143,HSTR052,Taxi,Transportation
144,HSTR059,Peer-to-peer ride services,Transportation
145,HSTR053,Other local passenger transportation,Transportation
146,HSTR054,Airplane,Transportation
147,HSTR055,Inter-city bus,Transportation
148,HSTR056,Other inter-city passenger transportation services,Transportation
149,HSTR056A,All other inter-city passenger transportation services,Transportation
150,HSTR056B,Train,Transportation
151,HSTR060,Household moving and storage services,Transportation
152,HSHC001,Health care,Health Care
153,HSHC002,Direct costs to the household for health care,Health Care
154,HSHC064,"Prescribed medicines, pharmaceutical products/cannabis for medical use",Health Care
155,HSHC003,Prescribed medicines and pharmaceutical products,Health Care
156,HSHC063,Cannabis for medical use,Health Care
157,HSHC004,Non-prescribed medicines/pharmaceutical products/health care supplies,Health Care
158,HSHC044,Health care supplies and equipment,Health Care
159,HSHC041,Health care equipment,Health Care
160,HSHC053,Other health care equipment,Health Care
161,HSHC052,Major health care equipment,Health Care
162,HSHC040,Health care supplies,Health Care
163,HSHC004A,Non-prescribed medicines and pharmaceutical products,Health Care
164,HSHC005,Health care services,Health Care
165,HSHC006,Health care practitioners (excluding general practitioners/specialists),Health Care
166,HSHC006A,Health care practitioners in the home,Health Care
167,HSHC006B,Health care practitioners outside the home,Health Care
168,HSHC007,Health care by general practitioners and specialists,Health Care
169,HSHC008,"Weight control programs, quit-smoking programs/other medical services",Health Care
170,HSHC009,"Hospital care, nursing homes, and other residential care facilities",Health Care
171,HSHC010,Eye-care goods and services,Health Care
172,HSHC012,Prescription eye wear,Health Care
173,HSHC014,Eye-care services,Health Care
174,HSHC027,Non-prescription eye wear and other eye-care goods,Health Care
175,HSHC026,Non-prescription eye wear (including sunglasses),Health Care
176,HSHC013,Other eye-care goods,Health Care
177,HSHC015,Dental services,Health Care
178,HSHC022,Private health insurance plan premiums,Health Care
179,HSHC061,Private health and dental plan premiums,Health Care
180,HSHC025,Accident or disability insurance premiums,Health Care
181,HSPC001,Personal care,Personal Care
182,HSPC002,Personal care products,Personal Care
183,HSPC003,Hair care products,Personal Care
184,HSPC004,"Makeup, skin care, manicure and fragrance products",Personal Care
185,HSPC004A,"Makeup, skin care and manicure products",Personal Care
186,HSPC004B,Fragrance products,Personal Care
187,HSPC005,Personal deodorants,Personal Care
188,HSPC006,Body soaps,Personal Care
189,HSPC007,Oral hygiene products,Personal Care
190,HSPC008,Disposable diapers,Personal Care
191,HSPC030,Other personal care supplies and equipment,Personal Care
192,HSPC009,Electric hair-styling and personal care appliances,Personal Care
193,HSPC011,Feminine hygiene products,Personal Care
194,HSPC012,All other personal care supplies and equipment,Personal Care
195,HSPC020,Personal care services,Personal Care
196,HSPC021,Hair grooming services,Personal Care
197,HSPC023,Other personal care services,Personal Care
198,HSRE001,Recreation,Recreation
199,HSRE030,Recreational equipment and related services,Recreation
200,HSRE125,"Sports, athletic and recreational equipment and related services",Recreation
201,HSRE128,"Rental, maintenance/repairs of sports, athletic/recreational equipment",Recreation
202,HSRE003,"Sports, athletic and recreation equipment",Recreation
203,HSRE010,Computer equipment and supplies,Recreation
204,HSRE012,Computer software and video game systems,Recreation
205,HSRE013,Computer software,Recreation
206,HSRE014,Video game systems and parts for personal computers,Recreation
207,HSRE111,App downloads,Recreation
208,HSRE112,Game downloads,Recreation
209,HSRE015,Computer supplies and other equipment,Recreation
210,HSRE011,Computer hardware,Recreation
211,HSRE110,Tablet computers,Recreation
212,HSRE114,E-book readers,Recreation
213,HSRE119,Wearable electronic devices,Recreation
214,HSRE016,Photographic goods and services,Recreation
215,HSRE120,"Camcorders, cameras, parts, accessories and related equipment",Recreation
216,HSRE020,Photographic services,Recreation
217,HSRE004,Outdoor play equipment and accessories,Recreation
218,HSRE005,Children's toys,Recreation
219,HSRE006,Video game systems and accessories,Recreation
220,HSRE007,Art and craft materials,Recreation
