Order,Variable,Description,Category,Hierarchy Level,Hierarchy Description,RootFormula,Type,Size,Part
0,CODE,Code,Geography,1,Code,,V_String,16,1
0,GEO,Geographic Summarization Indicator,Geography,1,Geographic Summarization Indicator,,V_String,16,1
1,HSBASHHD,Total Households,Basics,1,Total Households,[HSBASHHD],Int64,8,1
2,HSHNIAGG,Household Income,Basics,1,Household Income,[HSHNIAGG],Double,8,1
3,HSAGDISPIN,Household Disposable Income,Basics,1,Household Disposable Income,[HSAGDISPIN],Double,8,1
4,HSAGDISCIN,Household Discretionary Income,Basics,1,Household Discretionary Income,[HSAGDISCIN],Double,8,1
5,HSTT001,Total Expenditure,Household Expenditures (Category Summary),1,Total Expenditure,[HSTT001],Double,8,1
6,HSTE001,Total current consumption and financial transfers,Household Expenditures (Category Summary),2,Total current consumption and financial transfers,[HSTE001],Double,8,1
7,HSTX001,Income taxes,Household Expenditures (Category Summary),3,Income taxes,[HSTE001],Double,8,1
8,HSTC001,Total current consumption,Household Expenditures (Category Summary),3,Total current consumption,[HSTC001],Double,8,1
9,HSFD001S,Food expenditures,Household Expenditures (Category Summary),4,Food expenditures,[HSTC001],Double,8,1
10,HSHO001S,Household operations,Household Expenditures (Category Summary),4,Household operations,[HSTC001],Double,8,1
11,HSHF001S,Household furnishings and equipment,Household Expenditures (Category Summary),4,Household furnishings and equipment,[HSTC001],Double,8,1
12,HSTR001S,Transportation,Household Expenditures (Category Summary),4,Transportation,[HSTC001],Double,8,1
13,HSHC001S,Health care,Household Expenditures (Category Summary),4,Health care,[HSTC001],Double,8,1
14,HSPC001S,Personal care,Household Expenditures (Category Summary),4,Personal care,[HSTC001],Double,8,1
15,HSRE001S,Recreation,Household Expenditures (Category Summary),4,Recreation,[HSTC001],Double,8,1
16,HSRO001S,Reading materials and other printed matter,Household Expenditures (Category Summary),4,Reading materials and other printed matter,[HSTC001],Double,8,1
17,HSTA018S,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Household Expenditures (Category Summary),4,"Tobacco products, alcoholic beverages and cannabis for non-medical use",[HSTC001],Double,8,1
18,HSGC001S,Games of chance,Household Expenditures (Category Summary),4,Games of chance,[HSTC001],Double,8,1
19,HSME001S,Miscellaneous expenditures,Household Expenditures (Category Summary),4,Miscellaneous expenditures,[HSTC001],Double,8,1
20,HSSH001S,Shelter,Household Expenditures (Category Summary),4,Shelter,[HSTC001],Double,8,1
21,HSCL030S,Clothing and accessories,Household Expenditures (Category Summary),4,Clothing and accessories,[HSTC001],Double,8,1
22,HSED002S,Education,Household Expenditures (Category Summary),4,Education,[HSTC001],Double,8,1
23,HSEP011S,Personal insurance premiums and retirement/pension fund contributions,Household Expenditures (Category Summary),3,Personal insurance premiums and retirement/pension fund contributions,[HSTE001],Double,8,1
24,HSMG001S,"Gifts of money, support payments and charitable contributions",Household Expenditures (Category Summary),3,"Gifts of money, support payments and charitable contributions",[HSTE001],Double,8,1
25,HSTE001ZBS,Total Non Current Consumption,Household Expenditures (Category Summary),2,Total Non Current Consumption,[HSTT001],Double,8,1
26,HSWH040S,Net purchase price of owned residences,Household Expenditures (Category Summary),3,Net purchase price of owned residences,[HSTE001ZB],Double,8,1
27,HSWH041S,Net purchase price of owned secondary residences,Household Expenditures (Category Summary),3,Net purchase price of owned secondary residences,[HSTE001ZB],Double,8,1
28,HSWH042S,Net purchase price of other owned properties,Household Expenditures (Category Summary),3,Net purchase price of other owned properties,[HSTE001ZB],Double,8,1
29,HSWH050S,Owned principal residence improvements and renovations,Household Expenditures (Category Summary),3,Owned principal residence improvements and renovations,[HSTE001ZB],Double,8,1
30,HSWH028S,Improvements and renovations of secondary residences,Household Expenditures (Category Summary),3,Improvements and renovations of secondary residences,[HSTE001ZB],Double,8,1
31,HSFD001,Food expenditures,Food,4,Food expenditures,[HSFD001],Double,8,1
32,HSFD003,Food purchased from stores,Food,5,Food purchased from stores,[HSFD001],Double,8,1
33,HSFD990,Food purchased from restaurants,Food,5,Food purchased from restaurants,[HSFD001],Double,8,1
34,HSFD991,Restaurant meals,Food,6,Restaurant meals,[HSFD001],Double,8,1
35,HSFD992,Restaurant dinners,Food,7,Restaurant dinners,[HSFD001],Double,8,1
36,HSFD993,Restaurant lunches,Food,7,Restaurant lunches,[HSFD001],Double,8,1
37,HSFD994,Restaurant breakfasts,Food,7,Restaurant breakfasts,[HSFD001],Double,8,1
38,HSFD995,Restaurant snacks and beverages,Food,6,Restaurant snacks and beverages,[HSFD001],Double,8,1
39,HSFD1100,Ready-to-cook meal delivery services,Food,5,Ready-to-cook meal delivery services,[HSFD001],Double,8,1
40,HSHO001,Household operations,Household Operations,4,Household operations,[HSHO001],Double,8,1
41,HSHO010,Household cleaning supplies and equipment,Household Operations,5,Household cleaning supplies and equipment,[HSHO001],Double,8,1
42,HSHO011,Detergent and other soaps,Household Operations,6,Detergent and other soaps,[HSHO001],Double,8,1
