Variable,Description,Category,Change Type
HSCL019,Accessories,Clothing,New
HSCL020,Athletic footwear,Clothing,New
HSCL023,Children's wear (under 14 years),Clothing,New
HSCL024,Clothing (men and boys),Clothing,New
HSCL027,Clothing (women and girls),Clothing,New
HSCL030,Clothing and accessories,Clothing,New
HSCL021,Clothing and cloth diapers (children),Clothing,New
HSCL017,"Clothing material, yarn, thread and other notions",Clothing,New
HSCL016,Clothing services,Clothing,New
HSCL022,Footwear (children),Clothing,New
HSCL025,Footwear (men and boys),Clothing,New
HSCL028,Footwear (women and girls),Clothing,New
HSCL014,"Laundromats, dry-cleaning and laundry services",Clothing,New
HSCL026,Men's and boys' wear (14 years and over),Clothing,New
HSCL015,"Services for clothing, footwear and jewellery",Clothing,New
HSCL018,Watches and jewellery,Clothing,New
HSCL029,Women's and girls' wear (14 years and over),Clothing,New
HSED025,School supplies,Education,New
HSED024,Textbooks,Education,New
HSFD1100,Ready-to-cook meal delivery services,Food,New
HSGC003B,Bingos,Games of Chance,New
HSGC003A,"Casinos, slot machines, and video lottery terminals",Games of Chance,New
HSHC063,Cannabis for medical use,Health Care,New
HSHC004A,Non-prescribed medicines and pharmaceutical products,Health Care,New
HSHC041,Health care equipment,Health Care,New
HSHC040,Health care supplies,Health Care,New
HSHC044,Health care supplies and equipment,Health Care,New
HSHC052,Major health care equipment,Health Care,New
HSHC026,Non-prescription eye wear (including sunglasses),Health Care,New
HSHC013,Other eye-care goods,Health Care,New
HSHC053,Other health care equipment,Health Care,New
HSHC064,"Prescribed medicines, pharmaceutical products/cannabis for medical use",Health Care,New
HSHC061,Private health and dental plan premiums,Health Care,New
HSHE009A,All other electric equipment and appliances,House Furnishings,New
HSHE015A,"All other household equipment, parts and accessories",House Furnishings,New
HSHF008A,All other household furnishings,House Furnishings,New
HSHE009D,Attachments and parts for major appliances,House Furnishings,New
HSHF008B,Curtains and interior blinds,House Furnishings,New
HSHE013B,"Cutlery, flatware and silverware",House Furnishings,New
HSHF008C,"Glass mirrors, mirrors and picture frames",House Furnishings,New
HSHE011C,Hardware,House Furnishings,New
HSHE015B,Home security equipment,House Furnishings,New
HSHF007,Lamps and lampshades,House Furnishings,New
HSHE014,Luggage,House Furnishings,New
HSHE017,Maintenance/rental/repairs/services related to household furnishings/equipment,House Furnishings,New
HSHE051,Microwave ovens and cooking appliances,House Furnishings,New
HSHE012B,"Other lawn, garden and snow-removal tools and equipment attachments",House Furnishings,New
HSHE013A,Other non-electric kitchen and cooking equipment,House Furnishings,New
HSHE012C,Parts and accessories for garden tools,House Furnishings,New
HSHE050,Refrigerators and freezers,House Furnishings,New
HSHE024,Rental of heating equipment,House Furnishings,New
HSHE009C,"Sewing machines, vacuum cleaners and other rug cleaning equipment",House Furnishings,New
HSHE009B,Small electric food preparation appliances,House Furnishings,New
HSHE052,"Washers, dryers and dishwashers",House Furnishings,New
HSCL030S,Clothing and accessories,Household Expenditures (Category Summary),New
HSWH050S,Owned principal residence improvements and renovations,Household Expenditures (Category Summary),New
HSEP011S,Personal insurance premiums and retirement/pension fund contributions,Household Expenditures (Category Summary),New
HSTA018S,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Household Expenditures (Category Summary),New
HSCC022,Child care in the home,Household Operations,New
HSCC021,Child care outside the home,Household Operations,New
HSCS030,Communications,Household Operations,New
HSHO052,Pet food and pet-related goods,Household Operations,New
HSCS020,"Postal, courier, delivery and other communication services",Household Operations,New
HSHO050,Purchase of pets,Household Operations,New
HSCS021,Telephones and other equipment,Household Operations,New
HSME038,Administration fees for brokers and stock and bond commissions,Miscellaneous expenditures,New
HSME024,Convenience fees,Miscellaneous expenditures,New
HSME045,Dues to unions and professional associations,Miscellaneous expenditures,New
HSME039,Financial services,Miscellaneous expenditures,New
HSME036,Fines,Miscellaneous expenditures,New
HSME037,Funeral services,Miscellaneous expenditures,New
HSME040,Other miscellaneous goods and services,Miscellaneous expenditures,New
HSME030,Service charges for banks and other financial institutions,Miscellaneous expenditures,New
HSMG010,Alimony and child support,Money Gifts,New
HSMG009,Charitable contributions,Money Gifts,New
HSEP013,Canada and Quebec pension plan contributions,Premiums and pension contributions,New
HSEP014,Employer pension plan contributions,Premiums and pension contributions,New
HSEP012,Employment insurance and Quebec parental insurance premiums,Premiums and pension contributions,New
HSEP011,Personal insurance premiums and retirement/pension fund contributions,Premiums and pension contributions,New
HSEP015,Retirement and pension fund payments,Premiums and pension contributions,New
HSRO010,Services related to reading materials (e.g. photocopying/library fees),Reading Material,New
HSWH050B,Improvements and alterations to owned principal residence,Real Estate,New
HSWH050,Owned principal residence improvements and renovations,Real Estate,New
HSOI030,Spending on contract work/labour of total spending on improvements/renovations,Real Estate,New
HSOI030Z,Spending on non-contract work/labour of total spending on improvements/renovations,Real Estate,New
HSRE111,App downloads,Recreation,New
HSRE080,Audio equipment (portable and non-portable) and home theatre systems,Recreation,New
HSRE120,"Camcorders, cameras, parts, accessories and related equipment",Recreation,New
HSRE005,Children's toys,Recreation,New
HSRE013,Computer software,Recreation,New
HSRE082,"DVD players, Blu-Ray players and other video equipment and accessories",Recreation,New
HSRE114,E-book readers,Recreation,New
HSRE112,Game downloads,Recreation,New
HSRE065,Live performing arts events,Recreation,New
